Dates,Category,Descript,PdDistrict,Resolution,Address,X,Y
2004-05-15 10:00:00,OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,PARK,NONE,900 Block of PIERCE ST,-122.435080183212,37.7786964752736
2008-07-13 01:00:00,NON-CRIMINAL,LOST PROPERTY,SOUTHERN,NONE,11TH ST / MISSION ST,-122.417104895556,37.774324286790794
2010-07-17 15:00:00,LARCENY/THEFT,GRAND THEFT OF PROPERTY,SOUTHERN,NONE,0 Block of THE EMBARCADERONORTH ST,-122.38837987391899,37.783310406701496
2008-05-04 12:00:00,NON-CRIMINAL,AIDED CASE,BAYVIEW,NONE,1200 Block of QUESADA AV,-122.38311784750499,37.7285470574169
2004-08-05 14:00:00,MISSING PERSON,MISSING JUVENILE,BAYVIEW,LOCATED,0 Block of BOWMAN CT,-122.382493953943,37.73804678836621
2006-09-08 13:00:00,LARCENY/THEFT,PETTY THEFT BICYCLE,NORTHERN,NONE,100 Block of WEBSTER ST,-122.42859766178199,37.7716495805648
2009-03-03 19:48:00,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,NORTHERN,NONE,600 Block of LARKIN ST,-122.41759424770599,37.7840149232554
2007-06-30 21:44:00,WARRANTS,WARRANT ARREST,BAYVIEW,JUVENILE BOOKED,1700 Block of LASALLE AV,-122.391434800433,37.7381270935013
2005-05-21 22:17:00,ASSAULT,AGGRAVATED ASSAULT WITH A GUN,TENDERLOIN,NONE,300 Block of EDDY ST,-122.413753670487,37.78373004094
2004-04-30 06:39:00,DISORDERLY CONDUCT,MAINTAINING A PUBLIC NUISANCE AFTER NOTIFICATION,MISSION,"ARREST, BOOKED",SHOTWELL ST / 16TH ST,-122.416389710291,37.7652491154428
2003-05-31 07:00:00,NON-CRIMINAL,LOCATED PROPERTY,NORTHERN,NONE,3600 Block of FILLMORE ST,-122.43663473148399,37.803135683639
2005-10-18 14:50:00,LARCENY/THEFT,PETTY THEFT WITH PRIOR,CENTRAL,NONE,2800 Block of LEAVENWORTH ST,-122.419067224379,37.8073339305952
2014-09-02 11:00:00,SECONDARY CODES,JUVENILE INVOLVED,TARAVAL,COMPLAINANT REFUSES TO PROSECUTE,2100 Block of 24TH AV,-122.48130501918399,37.747461318190496
2008-04-04 08:00:00,LARCENY/THEFT,GRAND THEFT OF PROPERTY,MISSION,NONE,2700 Block of MISSION ST,-122.41844919178,37.7530267515876
2015-01-11 01:50:00,NON-CRIMINAL,"AIDED CASE, INJURED PERSON",NORTHERN,NONE,PINE ST / POLK ST,-122.42049728879,37.789618819255
2011-01-30 16:55:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",BAYVIEW,"ARREST, BOOKED",900 Block of RHODEISLAND ST,-122.40196233400101,37.757745327175
2013-05-27 09:11:00,WARRANTS,WARRANT ARREST,RICHMOND,"ARREST, BOOKED",500 Block of JOHNFKENNEDY DR,-122.46620466789301,37.7725405391593
2005-05-07 18:12:00,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,MISSION,"ARREST, CITED",22ND ST / MISSION ST,-122.418748733531,37.755437187514296
2011-07-02 11:33:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",SOUTHERN,PSYCHOPATHIC CASE,MAIN ST / FOLSOM ST,-122.391862129659,37.7893703016967
2005-04-24 17:00:00,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",INGLESIDE,NONE,OXFORD ST / PIOCHE ST,-122.420375410411,37.728556685555
2010-04-07 10:15:00,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,PARK,"ARREST, BOOKED",700 Block of STANYAN ST,-122.453512911126,37.7686969786551
2007-05-16 23:00:00,FRAUD,FALSE ID TO PEACE OFFICER,MISSION,"ARREST, BOOKED",0 Block of ABBEY ST,-122.427272544145,37.763381720095
2008-07-21 19:30:00,FRAUD,FRAUDULENT USE OF AUTOMATED TELLER CARD,MISSION,NONE,2300 Block of 16TH ST,-122.409529913278,37.7657184395282
2010-01-13 22:32:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,SOUTHERN,"ARREST, BOOKED",MARKET ST / 6TH ST,-122.41029351969,37.7822305870036
2014-04-30 18:00:00,NON-CRIMINAL,CASE CLOSURE,PARK,DISTRICT ATTORNEY REFUSES TO PROSECUTE,1700 Block of MCALLISTER ST,-122.440879521853,37.77753219352179
2011-08-10 19:15:00,OTHER OFFENSES,RESISTING ARREST,PARK,"ARREST, BOOKED",ASHBURY ST / PAGE ST,-122.44712374187701,37.7709342643167
2008-02-19 03:24:00,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,SOUTHERN,"ARREST, BOOKED",FOLSOM ST / HAWTHORNE ST,-122.397816589532,37.784668065393795
2004-03-06 22:30:00,VEHICLE THEFT,TAMPERING WITH A VEHICLE,TARAVAL,NONE,1500 Block of 11TH AV,-122.468193391489,37.7592633199424
2006-10-18 02:10:00,ASSAULT,BATTERY,SOUTHERN,NONE,1000 Block of MARKET ST,-122.411071423064,37.7817511307229
